observation_id,batch_id,source_name,source_job_id,revision,observed_at,posted_at,ingested_at,corrects_observation_id,correction_reason,company,title,location,cycle,category,posting_status,sponsorship_status,graduation_eligible,requirements,source_url,canonical_key_hint
obs_95475876ca713480,2,intern-list,intern-list-R09,1,2026-08-04 07:00:00+00,2026-08-01 00:00:00+00,2026-08-04 07:05:00+00,,,Delta Grid,Backend Engineer Intern,"Austin, TX",Summer 2027,SWE,OPEN,SUPPORTED,true,,https://example.invalid/intern-list/R09,deltagrid::backendengineerintern::summer2027
obs_6ecf92ef9f927b06,2,intern-list,intern-list-R11,1,2026-08-04 07:00:00+00,2026-07-24 00:00:00+00,2026-08-04 07:05:00+00,,,Foxglove AI,Research Engineer Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,,https://example.invalid/intern-list/R11,foxgloveai::researchengineerintern::summer2027
obs_45dd3cf3f9dfe4d1,2,greenhouse,greenhouse-R01,1,2026-08-04 09:00:00+00,2026-07-28 00:00:00+00,2026-08-04 09:05:00+00,,,Northwind Systems,Software Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|distributed systems,https://example.invalid/greenhouse/R01,northwindsystems::softwareengineerintern::summer2027
obs_2764c334ded9a2f6,2,greenhouse,greenhouse-R02,1,2026-08-04 09:00:00+00,2026-07-30 00:00:00+00,2026-08-04 09:05:00+00,,,Northwind Systems,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning,https://example.invalid/greenhouse/R02,northwindsystems::machinelearningintern::summer2027
obs_1bd009bd740bd6bb,2,greenhouse,greenhouse-R07,1,2026-08-04 09:00:00+00,2026-07-27 00:00:00+00,2026-08-04 09:05:00+00,,,Cedar Analytics,Data Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,sql|python|airflow|dbt,https://example.invalid/greenhouse/R07,cedaranalytics::dataengineerintern::summer2027
obs_32eb2fbc08cfef91,2,greenhouse,greenhouse-R13,1,2026-08-04 09:00:00+00,2026-07-22 00:00:00+00,2026-08-04 09:05:00+00,,,Northwind Systems,Platform Engineer Intern,"New York, NY",Fall 2026,SWE,OPEN,SUPPORTED,true,golang|kubernetes|terraform,https://example.invalid/greenhouse/R13,northwindsystems::platformengineerintern::fall2026
obs_50ab86716ca57d98,2,lever,lever-R03,1,2026-08-04 10:00:00+00,2026-07-25 00:00:00+00,2026-08-04 10:05:00+00,,,Acme Robotics,Robotics Software Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,true,c++|ros|linux,https://example.invalid/lever/R03,acmerobotics::roboticssoftwareintern::summer2027
obs_79aefbf053b5aed8,2,lever,lever-R04,1,2026-08-04 10:00:00+00,2026-07-26 00:00:00+00,2026-08-04 10:05:00+00,,,Acme Robotics,Embedded Systems Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,false,c|embedded|rtos,https://example.invalid/lever/R04,acmerobotics::embeddedsystemsintern::summer2027
obs_9c49b569a982a96b,2,lever,lever-R09,1,2026-08-04 10:00:00+00,2026-08-01 00:00:00+00,2026-08-04 10:05:00+00,,,Delta Grid,Backend Engineer Intern,"Austin, TX",Summer 2027,SWE,OPEN,SUPPORTED,true,java|kubernetes|sql,https://example.invalid/lever/R09,deltagrid::backendengineerintern::summer2027
obs_eaed7c1463ccf99b,2,ashby,ashby-R06,1,2026-08-04 11:00:00+00,2026-07-29 00:00:00+00,2026-08-04 11:05:00+00,,,Bluewater Capital,Software Engineer Intern,"Chicago, IL",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|golang,https://example.invalid/ashby/R06,bluewatercapital::softwareengineerintern::summer2027
obs_5516de4bdb4049bf,2,ashby,ashby-R11,1,2026-08-04 11:00:00+00,2026-07-24 00:00:00+00,2026-08-04 11:05:00+00,,,Foxglove AI,Research Engineer Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|distributed systems|cuda,https://example.invalid/ashby/R11,foxgloveai::researchengineerintern::summer2027
obs_7f3bfda816ba2c45,2,ashby,ashby-R12,1,2026-08-04 11:00:00+00,2026-07-26 00:00:00+00,2026-08-04 11:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,OPEN,SUPPORTED,true,c++|python|low latency,https://example.invalid/ashby/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_7356d16e68d1c468,2,linkedin,linkedin-R02,1,2026-08-04 15:00:00+00,2026-07-30 00:00:00+00,2026-08-04 15:05:00+00,,,Northwind Systems,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning,https://example.invalid/linkedin/R02,northwindsystems::machinelearningintern::summer2027
obs_2930ef33194a5c70,2,linkedin,linkedin-R06,1,2026-08-04 15:00:00+00,2026-07-29 00:00:00+00,2026-08-04 15:05:00+00,,,Bluewater Capital,Software Engineer Intern,"Chicago, IL",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|golang,https://example.invalid/linkedin/R06,bluewatercapital::softwareengineerintern::summer2027
obs_d27262c2548c6f2e,2,linkedin,linkedin-R11,1,2026-08-04 15:00:00+00,2026-07-24 00:00:00+00,2026-08-04 15:05:00+00,,,Foxglove AI,Research Engineer Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|distributed systems|cuda,https://example.invalid/linkedin/R11,foxgloveai::researchengineerintern::summer2027
obs_83f9623e6c186f14,3,community,community-R08,1,2026-08-05 06:00:00+00,2026-07-31 00:00:00+00,2026-08-05 06:05:00+00,,,Cedar Analytics,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R08,cedaranalytics::machinelearningintern::summer2027
obs_d532403a8cf8a943,3,community,community-R10,1,2026-08-05 06:00:00+00,2026-07-30 00:00:00+00,2026-08-05 06:05:00+00,,,Everline Health,Data Science Intern,"Boston, MA",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R10,everlinehealth::datascienceintern::summer2027
obs_c8b3239c6d4c4013,3,community,community-R12,1,2026-08-05 06:00:00+00,2026-07-26 00:00:00+00,2026-08-05 06:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,OPEN,SUPPORTED,true,,https://example.invalid/community/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_2fab15f31a3af0a7,3,greenhouse,greenhouse-R01,1,2026-08-05 09:00:00+00,2026-07-28 00:00:00+00,2026-08-05 09:05:00+00,,,Northwind Systems,Software Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|distributed systems,https://example.invalid/greenhouse/R01,northwindsystems::softwareengineerintern::summer2027
obs_1381561bc324f256,3,greenhouse,greenhouse-R02,1,2026-08-05 09:00:00+00,2026-07-30 00:00:00+00,2026-08-05 09:05:00+00,,,Northwind Systems,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning,https://example.invalid/greenhouse/R02,northwindsystems::machinelearningintern::summer2027
obs_4a54c8e07323f6d4,3,greenhouse,greenhouse-R07,1,2026-08-05 09:00:00+00,2026-07-27 00:00:00+00,2026-08-05 09:05:00+00,,,Cedar Analytics,Data Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,sql|python|airflow|dbt,https://example.invalid/greenhouse/R07,cedaranalytics::dataengineerintern::summer2027
obs_36c8f52ce5529194,3,greenhouse,greenhouse-R13,1,2026-08-05 09:00:00+00,2026-07-22 00:00:00+00,2026-08-05 09:05:00+00,,,Northwind Systems,Platform Engineer Intern,"New York, NY",Fall 2026,SWE,OPEN,SUPPORTED,true,golang|kubernetes|terraform,https://example.invalid/greenhouse/R13,northwindsystems::platformengineerintern::fall2026
obs_0263b9ce2b781193,3,lever,lever-R03,1,2026-08-05 10:00:00+00,2026-07-25 00:00:00+00,2026-08-05 10:05:00+00,,,Acme Robotics,Robotics Software Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,true,c++|ros|linux,https://example.invalid/lever/R03,acmerobotics::roboticssoftwareintern::summer2027
obs_7fe369bea2bdaec4,3,lever,lever-R04,1,2026-08-05 10:00:00+00,2026-07-26 00:00:00+00,2026-08-05 10:05:00+00,,,Acme Robotics,Embedded Systems Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,false,c|embedded|rtos,https://example.invalid/lever/R04,acmerobotics::embeddedsystemsintern::summer2027
obs_d0e8e8d20f9ad2e0,3,lever,lever-R09,1,2026-08-05 10:00:00+00,2026-08-01 00:00:00+00,2026-08-05 10:05:00+00,,,Delta Grid,Backend Engineer Intern,"Austin, TX",Summer 2027,SWE,OPEN,SUPPORTED,true,java|kubernetes|sql,https://example.invalid/lever/R09,deltagrid::backendengineerintern::summer2027
obs_6610b600f6397d01,3,ashby,ashby-R06,1,2026-08-05 11:00:00+00,2026-07-29 00:00:00+00,2026-08-05 11:05:00+00,,,Bluewater Capital,Software Engineer Intern,"Chicago, IL",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|golang,https://example.invalid/ashby/R06,bluewatercapital::softwareengineerintern::summer2027
obs_5f39eee8bf7f583b,3,ashby,ashby-R11,1,2026-08-05 11:00:00+00,2026-07-24 00:00:00+00,2026-08-05 11:05:00+00,,,Foxglove AI,Research Engineer Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|distributed systems|cuda,https://example.invalid/ashby/R11,foxgloveai::researchengineerintern::summer2027
obs_1872bbd5336e9c01,3,ashby,ashby-R12,1,2026-08-05 11:00:00+00,2026-07-26 00:00:00+00,2026-08-05 11:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,OPEN,SUPPORTED,true,c++|python|low latency,https://example.invalid/ashby/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_882a8683f21aa36c,3,ashby,ashby-R14,1,2026-08-05 11:00:00+00,2026-08-02 00:00:00+00,2026-08-05 11:05:00+00,,,Foxglove AI,Applied Scientist Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning|statistics,https://example.invalid/ashby/R14,foxgloveai::appliedscientistintern::summer2027
obs_38ffc624021dd476,3,linkedin,linkedin-R01,1,2026-08-05 15:00:00+00,2026-07-28 00:00:00+00,2026-08-05 15:05:00+00,,,Northwind Systems,Software Engineer Intern,New York City,Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|distributed systems,https://example.invalid/linkedin/R01,northwindsystems::softwareengineerintern::summer2027
obs_f9bdda653f95a610,3,linkedin,linkedin-R03,1,2026-08-05 15:00:00+00,2026-07-25 00:00:00+00,2026-08-05 15:05:00+00,,,Acme Robotics,Robotics Software Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,true,c++|ros|linux,https://example.invalid/linkedin/R03,acmerobotics::roboticssoftwareintern::summer2027
obs_a425144e03821cf0,3,linkedin,linkedin-R08,1,2026-08-05 15:00:00+00,2026-07-31 00:00:00+00,2026-08-05 15:05:00+00,,,Cedar Analytics,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,UNKNOWN,true,python|pytorch|sql,https://example.invalid/linkedin/R08,cedaranalytics::machinelearningintern::summer2027
obs_5dba82a977ce9752,3,linkedin,linkedin-R10,1,2026-08-05 15:00:00+00,2026-08-03 16:00:00+00,2026-08-05 15:05:00+00,,,Everline Health,Data Science Intern,"Boston, MA",Summer 2027,ML/AI,OPEN,UNKNOWN,true,python|statistics|sql,https://example.invalid/linkedin/R10,everlinehealth::datascienceintern::summer2027
obs_0f379b200e6fa5c9,4,community,community-R08,1,2026-08-06 06:00:00+00,2026-07-31 00:00:00+00,2026-08-06 06:05:00+00,,,Cedar Analytics,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R08,cedaranalytics::machinelearningintern::summer2027
obs_ef733d622df1a6e5,4,community,community-R10,1,2026-08-06 06:00:00+00,2026-07-30 00:00:00+00,2026-08-06 06:05:00+00,,,Everline Health,Data Science Intern,"Boston, MA",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R10,everlinehealth::datascienceintern::summer2027
obs_926df40e3cbb723c,4,community,community-R12,1,2026-08-06 06:00:00+00,2026-07-26 00:00:00+00,2026-08-06 06:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,OPEN,SUPPORTED,true,,https://example.invalid/community/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_e9cf02a6feba397b,4,intern-list,intern-list-R07,1,2026-08-06 07:00:00+00,2026-07-27 00:00:00+00,2026-08-06 07:05:00+00,,,Cedar Analytics,Data Engineer Intern,Remote - US,Summer 2027,SWE,OPEN,SUPPORTED,true,,https://example.invalid/intern-list/R07,cedaranalytics::dataengineerintern::summer2027
obs_9cf92563ff93f324,4,intern-list,intern-list-R09,1,2026-08-06 07:00:00+00,2026-08-01 00:00:00+00,2026-08-06 07:05:00+00,,,Delta Grid,Backend Engineer Intern,"Austin, TX",Summer 2027,SWE,OPEN,SUPPORTED,true,,https://example.invalid/intern-list/R09,deltagrid::backendengineerintern::summer2027
obs_d48eaa8e5bb3dc3a,4,intern-list,intern-list-R11,1,2026-08-06 07:00:00+00,2026-07-24 00:00:00+00,2026-08-06 07:05:00+00,,,Foxglove AI,Research Engineer Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,,https://example.invalid/intern-list/R11,foxgloveai::researchengineerintern::summer2027
obs_bfd0211b7b5acf3d,4,greenhouse,greenhouse-R01,1,2026-08-06 09:00:00+00,2026-07-28 00:00:00+00,2026-08-06 09:05:00+00,,,Northwind Systems,Software Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|distributed systems,https://example.invalid/greenhouse/R01,northwindsystems::softwareengineerintern::summer2027
obs_db548e26f7be9e97,4,greenhouse,greenhouse-R02,1,2026-08-06 09:00:00+00,2026-07-30 00:00:00+00,2026-08-06 09:05:00+00,,,Northwind Systems,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning,https://example.invalid/greenhouse/R02,northwindsystems::machinelearningintern::summer2027
obs_296c2f1eadb2cd45,4,greenhouse,greenhouse-R07,1,2026-08-06 09:00:00+00,2026-07-27 00:00:00+00,2026-08-06 09:05:00+00,,,Cedar Analytics,Data Engineer Intern,Remote - US,Summer 2027,SWE,OPEN,SUPPORTED,true,sql|python|airflow|dbt,https://example.invalid/greenhouse/R07,cedaranalytics::dataengineerintern::summer2027
obs_f832f351a70a6d77,4,greenhouse,greenhouse-R13,1,2026-08-06 09:00:00+00,2026-07-22 00:00:00+00,2026-08-06 09:05:00+00,,,Northwind Systems,Platform Engineer Intern,"New York, NY",Fall 2026,SWE,OPEN,SUPPORTED,true,golang|kubernetes|terraform,https://example.invalid/greenhouse/R13,northwindsystems::platformengineerintern::fall2026
obs_58601b126732d3f1,4,lever,lever-R03,1,2026-08-06 10:00:00+00,2026-07-25 00:00:00+00,2026-08-06 10:05:00+00,,,Acme Robotics,Robotics Software Intern,"Pittsburgh, PA",Summer 2027,SWE,CLOSED,UNKNOWN,true,c++|ros|linux,https://example.invalid/lever/R03,acmerobotics::roboticssoftwareintern::summer2027
obs_68569288c7128445,4,lever,lever-R04,1,2026-08-06 10:00:00+00,2026-07-26 00:00:00+00,2026-08-06 10:05:00+00,,,Acme Robotics,Embedded Systems Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,false,c|embedded|rtos,https://example.invalid/lever/R04,acmerobotics::embeddedsystemsintern::summer2027
obs_5f9ac236d3e153be,4,lever,lever-R09,1,2026-08-06 10:00:00+00,2026-08-01 00:00:00+00,2026-08-06 10:05:00+00,,,Delta Grid,Backend Engineer Intern,"Austin, TX",Summer 2027,SWE,OPEN,SUPPORTED,true,java|kubernetes|sql,https://example.invalid/lever/R09,deltagrid::backendengineerintern::summer2027
obs_1032fe7e3bc3720f,4,ashby,ashby-R06,1,2026-08-06 11:00:00+00,2026-07-29 00:00:00+00,2026-08-06 11:05:00+00,,,Bluewater Capital,Software Engineer Intern,"Chicago, IL",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|golang,https://example.invalid/ashby/R06,bluewatercapital::softwareengineerintern::summer2027
obs_c1013dfcbc42de70,4,ashby,ashby-R11,1,2026-08-06 11:00:00+00,2026-07-24 00:00:00+00,2026-08-06 11:05:00+00,,,Foxglove AI,Research Engineer Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|distributed systems|cuda,https://example.invalid/ashby/R11,foxgloveai::researchengineerintern::summer2027
obs_189dbf6fcb0e9db9,4,ashby,ashby-R12,1,2026-08-06 11:00:00+00,2026-07-26 00:00:00+00,2026-08-06 11:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,OPEN,SUPPORTED,true,c++|python|low latency,https://example.invalid/ashby/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_7c6983eefe77cfb7,4,ashby,ashby-R14,1,2026-08-06 11:00:00+00,2026-08-02 00:00:00+00,2026-08-06 11:05:00+00,,,Foxglove AI,Applied Scientist Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning|statistics,https://example.invalid/ashby/R14,foxgloveai::appliedscientistintern::summer2027
obs_94f92908fb845b74,4,linkedin,linkedin-R02,1,2026-08-06 15:00:00+00,2026-07-30 00:00:00+00,2026-08-06 15:05:00+00,,,Northwind Systems,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning,https://example.invalid/linkedin/R02,northwindsystems::machinelearningintern::summer2027
obs_1e5b12c6d37e1182,4,linkedin,linkedin-R06,1,2026-08-06 15:00:00+00,2026-07-29 00:00:00+00,2026-08-06 15:05:00+00,,,Bluewater Capital,Software Engineer Intern,"Chicago, IL",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|golang,https://example.invalid/linkedin/R06,bluewatercapital::softwareengineerintern::summer2027
obs_8f9fed7ef7c7fd45,4,linkedin,linkedin-R08,1,2026-08-06 15:00:00+00,2026-07-31 00:00:00+00,2026-08-06 15:05:00+00,,,Cedar Analytics,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,UNKNOWN,true,python|pytorch|sql,https://example.invalid/linkedin/R08,cedaranalytics::machinelearningintern::summer2027
obs_6569cf488df51e5b,4,linkedin,linkedin-R11,1,2026-08-06 15:00:00+00,2026-07-24 00:00:00+00,2026-08-06 15:05:00+00,,,Foxglove AI,Research Engineer Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|distributed systems|cuda,https://example.invalid/linkedin/R11,foxgloveai::researchengineerintern::summer2027
obs_2f5a941fcbc1254b,5,community,community-R05,1,2026-08-07 06:00:00+00,2026-07-20 00:00:00+00,2026-08-07 06:05:00+00,,,Bluewater Capital,Quantitative Research Intern,"Chicago, IL",Summer 2027,Quant,CLOSED,UNSUPPORTED,true,,https://example.invalid/community/R05,bluewatercapital::quantitativeresearchintern::summer2027
obs_17a8192d26ee977e,5,community,community-R08,1,2026-08-07 06:00:00+00,2026-07-31 00:00:00+00,2026-08-07 06:05:00+00,,,Cedar Analytics,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R08,cedaranalytics::machinelearningintern::summer2027
obs_6aabf7a6f09e4f58,5,community,community-R10,1,2026-08-07 06:00:00+00,2026-07-30 00:00:00+00,2026-08-07 06:05:00+00,,,Everline Health,Data Science Intern,"Boston, MA",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R10,everlinehealth::datascienceintern::summer2027
obs_ab45dfeb3a828e2c,5,community,community-R12,1,2026-08-07 06:00:00+00,2026-07-26 00:00:00+00,2026-08-07 06:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,CLOSED,SUPPORTED,true,,https://example.invalid/community/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_ea2707a38f89cc65,5,greenhouse,greenhouse-R01,1,2026-08-07 09:00:00+00,2026-07-28 00:00:00+00,2026-08-07 09:05:00+00,,,Northwind Systems,Software Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|distributed systems,https://example.invalid/greenhouse/R01,northwindsystems::softwareengineerintern::summer2027
obs_debd55423356c0b9,5,greenhouse,greenhouse-R02,1,2026-08-07 09:00:00+00,2026-07-30 00:00:00+00,2026-08-07 09:05:00+00,,,Northwind Systems,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning,https://example.invalid/greenhouse/R02,northwindsystems::machinelearningintern::summer2027
obs_9c97eafe496da77e,5,greenhouse,greenhouse-R07,1,2026-08-07 09:00:00+00,2026-07-27 00:00:00+00,2026-08-07 09:05:00+00,,,Cedar Analytics,Data Engineer Intern,Remote - US,Summer 2027,SWE,OPEN,SUPPORTED,true,sql|python|airflow|dbt,https://example.invalid/greenhouse/R07,cedaranalytics::dataengineerintern::summer2027
